Name,Created By,URL,Educational,Competition,Course,Platform,Year
Entanglement Hyper Maze DX,Finnish Game Jam,,No,Yes,No,,2014
Galaxy Hike,Finnish Game Jam,,No,Yes,No,,2014
Hopping Models,Finnish Game Jam,,No,Yes,No,,2014
Prime Snake,Finnish Game Jam,,No,Yes,No,,2014
Quanstrument,Finnish Game Jam,,No,Yes,No,,2014
Quantum Genesis,Finnish Game Jam,,No,Yes,No,,2014
QuantuMon: Gotta Observe â€˜Em All!,Finnish Game Jam,,No,Yes,No,,2014
The Rhythm of the Spheres,Finnish Game Jam,,No,Yes,No,,2014
Asteroids Redemption,Finnish Game Jam,,No,Yes,No,,2015
Duelity,Finnish Game Jam,,No,Yes,No,,2015
GridiQlous,Finnish Game Jam,,No,Yes,No,,2015
Jumptrails,Finnish Game Jam,,No,Yes,No,,2015
Parallel,Finnish Game Jam,,No,Yes,No,,2015
Pqker,Finnish Game Jam,,No,Yes,No,,2015
Prison Break,Finnish Game Jam,,No,Yes,No,,2015
QBeats,Finnish Game Jam,,No,Yes,No,,2015
Quantronics,Finnish Game Jam,,No,Yes,No,,2015
Quantum Horror,Finnish Game Jam,,No,Yes,No,,2015
Through the Quantum Gate,Finnish Game Jam,,No,Yes,No,,2015
Quantum Ocean Explorer,Finnish Game Jam,,No,Yes,No,,2015
Quantum Time,Finnish Game Jam,,No,Yes,No,,2015
Quantum Maze,Finnish Game Jam,,No,Yes,No,,2015
Wave Particle Duality Simulator,Finnish Game Jam,,No,Yes,No,,2015
What's in the Box,Finnish Game Jam,,No,Yes,No,,2015
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
